itemLabel,short_authorLabel
"Zika virus infections imported to Italy: clinical, immunological and virological findings, and public health implications",Dennis Tappe
"Zika virus infections imported to Italy: clinical, immunological and virological findings, and public health implications",Lorenzo Zammarchi
"Zika virus infections imported to Italy: clinical, immunological and virological findings, and public health implications",Alessandro Bartoloni
"Zika virus infections imported to Italy: clinical, immunological and virological findings, and public health implications",Dániel Cadar
Detection of Zika virus in urine,Myrielle Dupont-Rouzeyrol
Detection of Zika virus in urine,Olivia O'Connor
Detection of Zika virus in urine,Elodie Calvez
Detection of Zika virus in urine,Cyrille Goarant
Detection of Zika virus in urine,Ann-Claire Gourinat
First case of Zika virus infection in a returning Canadian traveler,Raymond Tellier
First case of Zika virus infection in a returning Canadian traveler,Bonnie Meatherall
First case of Zika virus infection in a returning Canadian traveler,Kanti Pabbaraju
First case of Zika virus infection in a returning Canadian traveler,Robbin Lindsay
Molecular characterization of three Zika flaviviruses obtained from sylvatic mosquitoes in the Central African Republic,Jean-Claude Manuguerra
Molecular characterization of three Zika flaviviruses obtained from sylvatic mosquitoes in the Central African Republic,Mirdad Kazanji
Molecular characterization of three Zika flaviviruses obtained from sylvatic mosquitoes in the Central African Republic,Antoine Gessain
Molecular characterization of three Zika flaviviruses obtained from sylvatic mosquitoes in the Central African Republic,Stéphane Descorps-Declère
Molecular characterization of three Zika flaviviruses obtained from sylvatic mosquitoes in the Central African Republic,Nicolas Berthet
Molecular characterization of three Zika flaviviruses obtained from sylvatic mosquitoes in the Central African Republic,Emmanuel Nakouné
"Zika virus, French Polynesia, South Pacific, 2013",Maria Marfel
"Zika virus, French Polynesia, South Pacific, 2013",Martin Bel
Aedes hensilli as a potential vector of Chikungunya and Zika viruses,Ann M. Powers
Aedes hensilli as a potential vector of Chikungunya and Zika viruses,Laurent Guillaumot
Aedes hensilli as a potential vector of Chikungunya and Zika viruses,Maria Marfel
Aedes hensilli as a potential vector of Chikungunya and Zika viruses,Moses Pretrick
Aedes hensilli as a potential vector of Chikungunya and Zika viruses,Martin Bel
Aedes hensilli as a potential vector of Chikungunya and Zika viruses,Anne Griggs
Current Zika virus epidemiology and recent epidemics,Isabelle Leparc-Goffart
"Zika virus infection after travel to Tahiti, December 2013",Jonas Schmidt-Chanasit
"Zika virus infection after travel to Tahiti, December 2013",Dennis Tappe
"Zika virus infection after travel to Tahiti, December 2013",Dániel Cadar
Complete Coding Sequence of Zika Virus from a French Polynesia Outbreak in 2013,Isabelle Leparc-Goffart
Complete Coding Sequence of Zika Virus from a French Polynesia Outbreak in 2013,Xavier de Lamballerie
"Imported Zika virus infection from the Cook Islands into Australia, 2014",Carmel T Taylor
"Zika Virus, French Polynesia, South Pacific, 2013",Didier Musso
"Zika Virus, French Polynesia, South Pacific, 2013",Van-Mai Cao-Lormeau
"Zika Virus, French Polynesia, South Pacific, 2013",Amadou Alpha Sall
"Zika Virus, French Polynesia, South Pacific, 2013",Anita Teissier
"Zika Virus, French Polynesia, South Pacific, 2013",Claudine Roche
"Zika Virus, French Polynesia, South Pacific, 2013",Emilie Robin
"Zika Virus, French Polynesia, South Pacific, 2013",Henri-Pierre Mallet
"Evidence of perinatal transmission of Zika virus, French Polynesia, December 2013 and February 2014",Didier Musso
"Evidence of perinatal transmission of Zika virus, French Polynesia, December 2013 and February 2014",Van-Mai Cao-Lormeau
"Evidence of perinatal transmission of Zika virus, French Polynesia, December 2013 and February 2014",Anita Teissier
"Evidence of perinatal transmission of Zika virus, French Polynesia, December 2013 and February 2014",Stéphane Lastère
"Potential for Zika virus transmission through blood transfusion demonstrated during an outbreak in French Polynesia, November 2013 to February 2014",Didier Musso
"Potential for Zika virus transmission through blood transfusion demonstrated during an outbreak in French Polynesia, November 2013 to February 2014",Van-Mai Cao-Lormeau
"Potential for Zika virus transmission through blood transfusion demonstrated during an outbreak in French Polynesia, November 2013 to February 2014",Claudine Roche
"Potential for Zika virus transmission through blood transfusion demonstrated during an outbreak in French Polynesia, November 2013 to February 2014",Emilie Robin
"Potential for Zika virus transmission through blood transfusion demonstrated during an outbreak in French Polynesia, November 2013 to February 2014",Tu-Xuan Nhan
"Zika virus infection complicated by Guillain-Barre syndrome--case report, French Polynesia, December 2013",Didier Musso
"Zika virus infection complicated by Guillain-Barre syndrome--case report, French Polynesia, December 2013",Isabelle Leparc-Goffart
"Zika virus infection complicated by Guillain-Barre syndrome--case report, French Polynesia, December 2013",Stéphane Lastère
Zika virus in Gabon (Central Africa)--2007: a new threat from Aedes albopictus?,Didier Fontenille
Zika virus in Gabon (Central Africa)--2007: a new threat from Aedes albopictus?,Christophe Paupy
